iter	RMSE
0	0.02637932369
1	0.02488706144
2	0.02351994711
3	0.02233067318
4	0.021116698
5	0.02007226948
6	0.01915453451
7	0.01837963351
8	0.01765328052
9	0.01692384648
10	0.01631595897
11	0.01576681267
12	0.0152526052
13	0.01479347251
14	0.0144073652
15	0.01396698982
16	0.01353689714
17	0.01316988863
18	0.01288048626
19	0.01260678172
20	0.01232647583
21	0.01211485526
22	0.01188271705
23	0.0116835283
24	0.01147566961
25	0.01126859486
26	0.01107473695
27	0.01089848251
28	0.01073931861
29	0.01061496878
30	0.01046281192
31	0.01030721269
32	0.01018271102
33	0.0100615938
34	0.00993408263
35	0.009787274893
36	0.009675788223
37	0.009572861403
38	0.009505602876
39	0.009391622542
40	0.009326374047
41	0.00924925831
42	0.009185097082
43	0.009097050129
44	0.0090064666
45	0.00894125204
46	0.008888997503
47	0.00880940202
48	0.0087608062
49	0.008706324722
50	0.008641031272
51	0.008573076916
52	0.008527384851
53	0.008485940937
54	0.008454052116
55	0.008389569123
56	0.008352188957
57	0.008327429589
58	0.008280981835
59	0.008255249624
60	0.008189669874
61	0.008156122505
62	0.008119784548
63	0.008085597654
64	0.008050574452
65	0.007989536441
66	0.007937001156
67	0.007895334428
68	0.00785577109
69	0.007820082691
70	0.007783682533
71	0.007745465709
72	0.007715476395
73	0.007698574913
74	0.007647823996
75	0.007610817369
76	0.007595207511
77	0.007576057353
78	0.007549425152
79	0.007514189373
80	0.007501516408
81	0.007461965991
82	0.007444328961
83	0.007408077021
84	0.007388709709
85	0.007342687436
86	0.007303412648
87	0.007270871345
88	0.007231209443
89	0.00721549722
90	0.007175897364
91	0.007157925511
92	0.007123944282
93	0.007112519522
94	0.007073569593
95	0.007027050556
96	0.00701724511
97	0.006988532432
98	0.006959892668
99	0.006950963891
100	0.00689773096
101	0.00687143062
102	0.006845108486
103	0.006807388493
104	0.006790961532
105	0.006739887597
106	0.006707901532
107	0.006669235657
108	0.006655709349
109	0.006607265054
110	0.00659622403
111	0.006554040049
112	0.006533591396
113	0.006499908971
114	0.006460363157
115	0.006438701334
116	0.00640910386
117	0.006387058629
118	0.006370123773
119	0.006325056141
120	0.006318911933
121	0.006279279305
122	0.00626277541
123	0.006239446803
124	0.00623164465
125	0.006221652711
126	0.006215841472
127	0.006194168599
128	0.006169856536
129	0.006151690133
130	0.006128498117
131	0.006122654336
132	0.006089716773
133	0.006059739496
134	0.006033922703
135	0.00601171259
136	0.005988723182
137	0.005983559104
138	0.005979258594
139	0.005959633148
140	0.005933998237
141	0.005902573969
142	0.005881443504
143	0.005858434348
144	0.005831084846
145	0.005818404458
146	0.005812716151
147	0.005790957842
148	0.005768488469
149	0.005754930008
150	0.005752457142
151	0.005733931574
152	0.005702879895
153	0.005685492899
154	0.005668261049
155	0.005655146393
156	0.00563652955
157	0.005607970193
158	0.005578958726
159	0.005559795444
160	0.005545802783
161	0.005530402165
162	0.005511837531
163	0.005488849458
164	0.005469971007
165	0.005466767184
166	0.005432712798
167	0.005425665261
168	0.005390889314
169	0.005367298194
170	0.00534635003
171	0.005335547198
172	0.005320072593
173	0.005303039354
174	0.00528740235
175	0.005270509616
176	0.005258421394
177	0.005234603843
178	0.005225839274
179	0.005189910163
180	0.00517606503
181	0.005157604619
182	0.00513230597
183	0.005113365989
184	0.0050990574
185	0.005093468467
186	0.005069229504
187	0.005056101521
188	0.005048463911
189	0.005030058143
190	0.005027314943
191	0.005003177163
192	0.00498186662
193	0.004956380835
194	0.004931329024
195	0.004913657574
196	0.004894346757
197	0.004889460469
198	0.004875788609
199	0.004859303639
200	0.004845239745
201	0.004833695954
202	0.004822371075
203	0.004810718169
204	0.004800119972
205	0.004775424319
206	0.004748942488
207	0.004737441839
208	0.004725905292
209	0.004723255148
210	0.004712498555
211	0.004699057903
212	0.004674864003
213	0.004671645808
214	0.004655862615
215	0.004639382885
216	0.004616125683
217	0.004597722419
218	0.004569613008
219	0.004556426723
220	0.004543408429
221	0.004524419304
222	0.004501705724
223	0.004489859601
224	0.004460477445
225	0.004448576423
226	0.004444938099
227	0.004423470735
228	0.00440950041
229	0.004394000196
230	0.004375330499
231	0.004358977917
232	0.004341590324
233	0.004323472081
234	0.00430967877
235	0.004295973721
236	0.004273130969
237	0.004256107528
238	0.00424707026
239	0.004228698844
240	0.004213972997
241	0.004210392782
242	0.004187288945
243	0.004173961205
244	0.004159466695
245	0.004140973286
246	0.004129716129
247	0.004115583565
248	0.004099158004
249	0.00409263446
250	0.004076765824
251	0.004065083291
252	0.004045783573
253	0.004020262651
254	0.003999546064
255	0.003993385307
256	0.003978836423
257	0.003966795566
258	0.003957658037
259	0.003935253461
260	0.003931193872
261	0.003921650924
262	0.003906611103
263	0.003898211738
264	0.003887839385
265	0.003868941362
266	0.003855768046
267	0.003837157487
268	0.00383055212
269	0.003818267897
270	0.003811191462
271	0.003794885321
272	0.003778209526
273	0.003777031803
274	0.003775120217
275	0.003767628533
276	0.003749293125
277	0.003730153994
278	0.003719276717
279	0.003705114448
280	0.003689118544
281	0.003674211116
282	0.003651738467
283	0.003641763253
284	0.003622646778
285	0.003619713259
286	0.003609580176
287	0.00360153821
288	0.003586822918
289	0.003572914106
290	0.003565377569
291	0.003554988537
292	0.003554404394
293	0.00355082726
294	0.003534965653
295	0.003528180764
296	0.003502520117
297	0.003488025886
298	0.003470128277
299	0.003456251027
